id,timestamp,content,cleaned_content,likes,retweets,replies,impressions,cleaned_text,sentiment,risk_level
1908810750363324722,2025-04-06T09:15:21+00:00,@AzizulFarhan2 In my opinion women have 9× emotional intelligence than men. Men however will never go to therapy &amp; will figure out 9 ways to avoid it 😅.,In my opinion women have 9 emotional intelligence than men. Men however will never go to therapy &amp; will figure out 9 ways to avoid it .,0,0,0,0,azizulfarhan opinion women emotional intelligence men men however never go therapy amp figure ways avoid,Positive,Low Concern
1908810744335876589,2025-04-06T09:15:20+00:00,"The days without you have been lonely and gay, 
I lost my way, but now I’ve come to stay.

ME DOING THIS... KILLS ME... I HATE ME... I DO...","The days without you have been lonely and gay, I lost my way, but now Ive come to stay. ME DOING THIS... KILLS ME... I HATE ME... I DO...",0,0,0,1,days without lonely lost way i’ve come stay kills hate,Negative,Low Concern
1908810740472897756,2025-04-06T09:15:19+00:00,"@Bkwrd1 @scubaryan_ @lildurk He looked disappointed, scared, confused, let down depressed, and determined to leave all in one look","He looked disappointed, scared, confused, let down depressed, and determined to leave all in one look",0,0,0,0,bkwrd scubaryan lildurk looked disappointed scared confused let depressed determined leave one look,Negative,Moderate Concern
1908810740141539440,2025-04-06T09:15:19+00:00,"RT @marrryyymaar: I'm so lonely after my divorce. I'm  young  but I still want to find true love. Do I still have a chance?  I think not, b…","RT : I'm so lonely after my divorce. I'm young but I still want to find true love. Do I still have a chance? I think not, b",0,1044,0,0,rt marryymaar im lonely divorce im young still want find true love still chance think b…,Positive,Low Concern
1908810739810283894,2025-04-06T09:15:19+00:00,RT @RachelTrue: Why do white people slaughter their entire families when they’re financially or emotionally overwhelmed?,RT : Why do white people slaughter their entire families when theyre financially or emotionally overwhelmed?,0,3459,0,0,rt racheltrue white people slaughter entire families they’re financially emotionally overwhelmed,Positive,Low Concern
1908810739499888905,2025-04-06T09:15:18+00:00,RT @blankpapper_: You look lonely… door https://t.co/PMru2Pw2rV,RT : You look lonely door,0,545,0,0,rt blankpapper look lonely… door,Neutral,Low Concern
1908810738535182378,2025-04-06T09:15:18+00:00,"https://t.co/Vb8H0iADui
Need a creative escape? ✨
My new whimsical coloring book is full of cozy, cute scenes &amp; bold line art—perfect for relaxing with markers or pencils.
Great for all ages &amp; skill levels. 🎨
Grab your copy now &amp; color your stress away! 🖤📖 #ColoringBook","Need a creative escape? My new whimsical coloring book is full of cozy, cute scenes &amp; bold line artperfect for relaxing with markers or pencils. Great for all ages &amp; skill levels. Grab your copy now &amp; color your stress away! ColoringBook",0,0,0,0,need creative escape new whimsical coloring book full cozy cute scenes amp bold line art—perfect relaxing markers pencils great ages amp skill levels grab copy amp color stress away coloringbook,Positive,Low Concern
1908810735691477419,2025-04-06T09:15:18+00:00,"Feeling overwhelmed by a huge task? Break it down into tiny, manageable steps.  Even small progress is still progress! #productivity #motivation #getthingsdone","Feeling overwhelmed by a huge task? Break it down into tiny, manageable steps. Even small progress is still progress! productivity motivation getthingsdone",0,0,0,0,feeling overwhelmed huge task break tiny manageable steps even small progress still progress productivity motivation getthingsdone,Positive,Low Concern
1908810731241210111,2025-04-06T09:15:16+00:00,"https://t.co/Vb8H0iADui
Need a creative escape? ✨
My new whimsical coloring book is full of cozy, cute scenes &amp; bold line art—perfect for relaxing with markers or pencils.
Great for all ages &amp; skill levels. 🎨
Grab your copy now &amp; color your stress away! 🖤📖 #ColoringBook","Need a creative escape? My new whimsical coloring book is full of cozy, cute scenes &amp; bold line artperfect for relaxing with markers or pencils. Great for all ages &amp; skill levels. Grab your copy now &amp; color your stress away! ColoringBook",0,0,0,0,need creative escape new whimsical coloring book full cozy cute scenes amp bold line art—perfect relaxing markers pencils great ages amp skill levels grab copy amp color stress away coloringbook,Positive,Low Concern
1908810729823801691,2025-04-06T09:15:16+00:00,@AliRaza95848510 Depressed,Depressed,0,0,0,0,aliraza depressed,Negative,Moderate Concern
1908810728628199563,2025-04-06T09:15:16+00:00,@minxalure What kind of clinic? Was it one where they give you a 'special number' &amp; you sit in a waiting room with a lot of anxious looking people?? Also..I want cuddles and🍦 sounds like a fun day out to me.. some kids are sooo ungrateful 🤔💃🔥,What kind of clinic? Was it one where they give you a 'special number' &amp; you sit in a waiting room with a lot of anxious looking people?? Also..I want cuddles and sounds like a fun day out to me.. some kids are sooo ungrateful,0,0,0,0,minxalure kind clinic one give special number amp sit waiting room lot anxious looking people alsoi want cuddles sounds like fun day kids soo ungrateful,Positive,Moderate Concern
1908810728066207847,2025-04-06T09:15:16+00:00,RT @gemzcore: That depression and anxiety can result in memory loss.,RT : That depression and anxiety can result in memory loss.,0,3685,0,0,rt gemzcore depression anxiety result memory loss,Negative,Low Concern
1908810726015201698,2025-04-06T09:15:15+00:00,"Looking for something cute, cozy, and creative? 🧸✨
My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibes—perfect for stress relief, mindfulness, or a fun creative break!
Grab your copy now! 🎀📖
https://t.co/kz3dk872Br
#ColoringBook #AdultColoring","Looking for something cute, cozy, and creative? My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibesperfect for stress relief, mindfulness, or a fun creative break! Grab your copy now! ColoringBook AdultColoring",0,0,0,0,looking something cute cozy creative new kawaii girl coloring book full adorable scenes amp relaxing vibes—perfect stress relief mindfulness fun creative break grab copy coloringbook adultcoloring,Positive,Low Concern
1908810725159751949,2025-04-06T09:15:15+00:00,Which is really bad! Because it means then I don’t have that many like deep or intimate relationships with friends! But also is protecting me because when I do get invested and things do go bad I become suicidal and insane! Which is also bad! Oh no!,Which is really bad! Because it means then I dont have that many like deep or intimate relationships with friends! But also is protecting me because when I do get invested and things do go bad I become suicidal and insane! Which is also bad! Oh no!,0,0,0,0,really bad means don’t many like deep intimate relationships friends also protecting get invested things go bad become suicidal insane also bad oh,Negative,High-Risk
1908810722726797458,2025-04-06T09:15:14+00:00,"@Unathi_jam I just texted her on WhatsApp, She hasn’t responded yet. I guess she is overwhelmed by some texts she is receiving and it’s  possible there are  more victims.","I just texted her on WhatsApp, She hasnt responded yet. I guess she is overwhelmed by some texts she is receiving and its possible there are more victims.",0,0,0,0,unathijam texted whatsapp hasn’t responded yet guess overwhelmed texts receiving it’s possible victims,Negative,Low Concern
1908810722194379129,2025-04-06T09:15:14+00:00,"RT @BE_LookNooh: 🦈I was so lonely at first. Since I'm not used to be alone anymore. But after see everybody, I feel better
👩🏻I understand w…","RT : I was so lonely at first. Since I'm not used to be alone anymore. But after see everybody, I feel better I understand w",0,177,0,0,rt belooknooh lonely first since im used alone anymore see everybody feel better understand w…,Negative,Low Concern
1908810717697867799,2025-04-06T09:15:13+00:00,RT @gemzcore: That depression and anxiety can result in memory loss.,RT : That depression and anxiety can result in memory loss.,0,3685,0,0,rt gemzcore depression anxiety result memory loss,Negative,Low Concern
1908810716947312914,2025-04-06T09:15:13+00:00,"RT @SethAbramson: Worst two-day stock market crashes in the U.S. by percentage loss:

1. 1929 (the Great Depression)
2. 1987 (Black Monday)…",RT : Worst two-day stock market crashes in the U.S. by percentage loss: 1. 1929 (the Great Depression) 2. 1987 (Black Monday),0,4978,0,0,rt sethabramson worst twoday stock market crashes us percentage loss great depression black monday…,Negative,Low Concern
1908810715974029738,2025-04-06T09:15:13+00:00,"New to DeFi? 🦏 @rhinofi’s ease + Relay &amp; Reservoir’s power = stress-free swaps &amp; liquidity. One wallet, endless chains","New to DeFi? s ease + Relay &amp; Reservoirs power = stress-free swaps &amp; liquidity. One wallet, endless chains",0,0,0,1,new defi rhinofi’s ease relay amp reservoir’s power stressfree swaps amp liquidity one wallet endless chains,Positive,Low Concern
1908810715210592575,2025-04-06T09:15:13+00:00,"RT @BE_LookNooh: 🦈I was so lonely at first. Since I'm not used to be alone anymore. But after see everybody, I feel better
👩🏻I understand w…","RT : I was so lonely at first. Since I'm not used to be alone anymore. But after see everybody, I feel better I understand w",0,177,0,0,rt belooknooh lonely first since im used alone anymore see everybody feel better understand w…,Negative,Low Concern
1908810714845757719,2025-04-06T09:15:13+00:00,RT @gazanotice: 🚨Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration…,RT : Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration,0,143,0,0,rt gazanotice footage thousands people overwhelmed streets outside white house washington dc powerful demonstration…,Positive,Low Concern
1908810713646477439,2025-04-06T09:15:12+00:00,"RT @thegarybrecka: If you've experienced anxiety on and off your whole life, get anxious without a clear trigger, and meds only make you fe…","RT : If you've experienced anxiety on and off your whole life, get anxious without a clear trigger, and meds only make you fe",0,284,0,0,rt thegarybrecka youve experienced anxiety whole life get anxious without clear trigger meds make fe…,Negative,Moderate Concern
1908810712383889517,2025-04-06T09:15:12+00:00,"@PeterStefanovi2 This has happened before. It was a decision that exacerbated the Great Depression. And may trigger the next one.
The people in charge don’t know what they are doing.

https://t.co/DabsBlxSus",This has happened before. It was a decision that exacerbated the Great Depression. And may trigger the next one. The people in charge dont know what they are doing.,0,0,0,0,peterstefanovi happened decision exacerbated great depression may trigger next one people charge don’t know,Positive,Low Concern
1908810710244905232,2025-04-06T09:15:11+00:00,@grok cara biar ga hopeless romantic gimana,cara biar ga hopeless romantic gimana,0,0,0,0,grok cara biar ga hopeless romantic gimana,Negative,Low Concern
1908810710160945389,2025-04-06T09:15:11+00:00,"RT @BigLeagueGaming: Here are the nine previous market crashes plus last week’s event (March 29 - April 4, 2025), listed by their capital l…","RT : Here are the nine previous market crashes plus last weeks event (March 29 - April 4, 2025), listed by their capital l",0,19,0,0,rt bigleaguegaming nine previous market crashes plus last week’s event march april listed capital l…,Neutral,Low Concern
1908810708411691044,2025-04-06T09:15:11+00:00,"RT @joerichlaw: Lucy Connolly was diagnosed with PTSD after her 19-month-old son, Harry, was killed by catastrophic failures in his NHS car…","RT : Lucy Connolly was diagnosed with PTSD after her 19-month-old son, Harry, was killed by catastrophic failures in his NHS car",0,524,0,0,rt joerichlaw lucy connolly diagnosed ptsd monthold son harry killed catastrophic failures nhs car…,Negative,Low Concern
1908810708122480988,2025-04-06T09:15:11+00:00,@OnychinusZone Lonely without you. Nanya bohong ganya aku marah 😠,Lonely without you. Nanya bohong ganya aku marah,0,0,0,0,onychinuszone lonely without nanya bohong ganya aku marah,Negative,Low Concern
1908810707124052430,2025-04-06T09:15:11+00:00,RT @akwasi_4: Barca is still lonely at the top. We didn’t want to win the league with big margin…anyway Real Madrid owes us 3 points 🙂,RT : Barca is still lonely at the top. We didnt want to win the league with big marginanyway Real Madrid owes us 3 points,0,2,0,0,rt akwasi barca still lonely top didn’t want win league big margin…anyway real madrid owes us points,Positive,Low Concern
1908810705916035148,2025-04-06T09:15:10+00:00,@Sydney471617371 Yeah that fanbase needs collective therapy,Yeah that fanbase needs collective therapy,0,0,0,3,sydney yeah fanbase needs collective therapy,Positive,Low Concern
1908810705207283722,2025-04-06T09:15:10+00:00,"RT @IAMRAPCHA: IG of police making speeches at political rallies, President's PA taking pictures at rallies 

It's starting to get lonely 📺…","RT : IG of police making speeches at political rallies, President's PA taking pictures at rallies It's starting to get lonely",0,22,0,0,rt iamrapcha ig police making speeches political rallies presidents pa taking pictures rallies starting get lonely,Negative,Low Concern
1908810702049128786,2025-04-06T09:15:10+00:00,RT @YuliaFaaarrrmmm: Life on the farm is peaceful but lonely and I dream of meeting an experienced man who values a hardworking girl like m…,RT : Life on the farm is peaceful but lonely and I dream of meeting an experienced man who values a hardworking girl like m,0,926,0,0,rt yuliafaarrmm life farm peaceful lonely dream meeting experienced man values hardworking girl like m…,Positive,Low Concern
1908810699905884547,2025-04-06T09:15:09+00:00,RT @mooncatvivi: your 20s are for realizing that growing up as a very lonely girl sticks with you for far longer than you’d like,RT : your 20s are for realizing that growing up as a very lonely girl sticks with you for far longer than youd like,0,14371,0,0,rt mooncatvivi realizing growing lonely girl sticks far longer you’d like,Positive,Low Concern
1908810698420810136,2025-04-06T09:15:09+00:00,"☕ Sunday Digital Detox? Nice try, humans.

🔸75% check phones within 5 mins of waking.
🔸Avg. daily screen time: 7 hrs &amp; rising.
🔸1 in 3 anxious without their device.

Enjoy your Sunday scroll (we both know you won't stop..yet)⚡️
#SundayThoughts #DigitalLife #RealityCheck","Sunday Digital Detox? Nice try, humans. 75% check phones within 5 mins of waking. Avg. daily screen time: 7 hrs &amp; rising. 1 in 3 anxious without their device. Enjoy your Sunday scroll (we both know you won't stop..yet) SundayThoughts DigitalLife RealityCheck",0,0,0,1,sunday digital detox nice try humans check phones within mins waking avg daily screen time hrs amp rising anxious without device enjoy sunday scroll know wont stopyet sundaythoughts digitallife realitycheck,Negative,Moderate Concern
1908810697267458109,2025-04-06T09:15:08+00:00,RT @mooncatvivi: your 20s are for realizing that growing up as a very lonely girl sticks with you for far longer than you’d like,RT : your 20s are for realizing that growing up as a very lonely girl sticks with you for far longer than youd like,0,14371,0,0,rt mooncatvivi realizing growing lonely girl sticks far longer you’d like,Positive,Low Concern
1908810696994795522,2025-04-06T09:15:08+00:00,@WallStreetMav Some think they are lesbians. I think they suffer with mental health issues.,Some think they are lesbians. I think they suffer with mental health issues.,0,0,0,1,wallstreetmav think think suffer mental health issues,Negative,Low Concern
1908810696990597545,2025-04-06T09:15:08+00:00,"@qikipedia This is wild—Gladstone’s rivalry with Disraeli was so intense that just giving his eulogy in 1881 gave him diarrhea! These two Victorian giants shaped modern British politics with their clashes, from empire to reform. Their loathing was legendary—Gladstone’s stress really shows","This is wildGladstones rivalry with Disraeli was so intense that just giving his eulogy in 1881 gave him diarrhea! These two Victorian giants shaped modern British politics with their clashes, from empire to reform. Their loathing was legendaryGladstones stress really shows",0,0,0,0,qikipedia wild—gladstone’s rivalry disraeli intense giving eulogy gave diarrhea two victorian giants shaped modern british politics clashes empire reform loathing legendary—gladstone’s stress really shows,Negative,Low Concern
1908810696248209789,2025-04-06T09:15:08+00:00,My sense is that a childhood without any risk produces anxious and neurotic adults. I was so so lucky to catch the tail end of playing outside and being stupid without maternal Big Brother looming over me,My sense is that a childhood without any risk produces anxious and neurotic adults. I was so so lucky to catch the tail end of playing outside and being stupid without maternal Big Brother looming over me,0,0,0,4,sense childhood without risk produces anxious neurotic adults lucky catch tail end playing outside without maternal big brother looming,Positive,Moderate Concern
1908810695249973409,2025-04-06T09:15:08+00:00,"RT @curlewcalls: BIG NEWS!!!! it is official, there will be a GCSE in Natural History. Feel quite overwhelmed. Maybe these little ones and…","RT : BIG NEWS!!!! it is official, there will be a GCSE in Natural History. Feel quite overwhelmed. Maybe these little ones and",0,496,0,0,rt curlewcalls big news official gcse natural history feel quite overwhelmed maybe little ones and…,Positive,Low Concern
1908810694994083895,2025-04-06T09:15:08+00:00,RT @gazanotice: 🚨Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration…,RT : Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration,0,143,0,0,rt gazanotice footage thousands people overwhelmed streets outside white house washington dc powerful demonstration…,Positive,Low Concern
1908810694817952092,2025-04-06T09:15:08+00:00,RT @gazanotice: 🚨Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration…,RT : Footage: Thousands of people overwhelmed the streets outside the White House in Washington DC in a powerful demonstration,0,143,0,0,rt gazanotice footage thousands people overwhelmed streets outside white house washington dc powerful demonstration…,Positive,Low Concern
1908810694381756667,2025-04-06T09:15:08+00:00,"So much anxiety, depression, and ADHD is simply from not being nourished appropriately.

Your body is freaking out, or giving up, because it doesnt have enough nutrients to survive.

Eat a nutrient dense diet, give your body what it needs, and watch your issues vanish.⚕️","So much anxiety, depression, and ADHD is simply from not being nourished appropriately. Your body is freaking out, or giving up, because it doesnt have enough nutrients to survive. Eat a nutrient dense diet, give your body what it needs, and watch your issues vanish.",0,0,0,1,much anxiety depression adhd simply nourished appropriately body freaking giving doesnt enough nutrients survive eat nutrient dense diet give body needs watch issues vanish,Negative,Low Concern
1908810694377582750,2025-04-06T09:15:08+00:00,RT @jangkkungyaz: enha separation anxiety https://t.co/DPYX7fVKfG,RT : enha separation anxiety,0,252,0,0,rt jangkkungyaz enha separation anxiety,Negative,Low Concern
1908810692058141088,2025-04-06T09:15:07+00:00,Anxious,Anxious,0,0,1,0,anxious,Negative,Moderate Concern
1908810690128642340,2025-04-06T09:15:07+00:00,"Vintage found footage - Alan loses his balance... https://t.co/UNLMAjn32L #animation #animated #Animatedvideos #shortfilm #stopmotion #art #movie #video #lonely #shortfilm #stopmotion #art #movie 59
 #GTTO #SueGray #FollowBack",Vintage found footage - Alan loses his balance... animation animated Animatedvideos shortfilm stopmotion art movie video lonely shortfilm stopmotion art movie 59 GTTO SueGray FollowBack,0,0,0,0,vintage found footage alan loses balance animation animated animatedvideos shortfilm stopmotion art movie video lonely shortfilm stopmotion art movie gtto suegray followback,Negative,Low Concern
1908810689168146931,2025-04-06T09:15:06+00:00,Quick lunch break before diving back into the pile of work Feeling a bit overwhelmed but determined to push through!,Quick lunch break before diving back into the pile of work Feeling a bit overwhelmed but determined to push through!,0,0,0,0,quick lunch break diving back pile work feeling bit overwhelmed determined push,Positive,Low Concern
1908810684080455749,2025-04-06T09:15:05+00:00,"RT @zoramakes: I woke up this morning overwhelmed by a feeling of deep gratitude. It made me still. What a powerful, precious thing. To wat…","RT : I woke up this morning overwhelmed by a feeling of deep gratitude. It made me still. What a powerful, precious thing. To wat",0,51,0,0,rt zoramakes woke morning overwhelmed feeling deep gratitude made still powerful precious thing wat…,Positive,Low Concern
1908810682432475630,2025-04-06T09:15:05+00:00,"RT @nidhisayshello: Tears in my eyes 🥺
oh seokjin you deserves all the love for being the most  intellectually, kind, empathetic and gracef…","RT : Tears in my eyes oh seokjin you deserves all the love for being the most intellectually, kind, empathetic and gracef",0,255,0,0,rt nidhisayshello tears eyes oh seokjin deserves love intellectually kind empathetic gracef…,Positive,Low Concern
1908810681438323091,2025-04-06T09:15:05+00:00,"RT @lookkhunnoos: 🗣️: se-brp dekat kalian? (lonely gang)
🐼: sangat dekat
💰: di antara semuanya di gmm, kami mungkin yg paling dekat
🐼: kata…","RT : : se-brp dekat kalian? (lonely gang) : sangat dekat : di antara semuanya di gmm, kami mungkin yg paling dekat : kata",0,711,0,0,rt lookkhunnoos sebrp dekat kalian lonely gang sangat dekat di antara semuanya di gmm kami mungkin yg paling dekat kata…,Negative,Low Concern
1908810681282916369,2025-04-06T09:15:05+00:00,"RT @estdiaries: 🎤 are you lonely today?
🦈 today i’m lonely im not used to being alone

🥹🥹🥹

EST X WONDER SPLASH
 #TheICONMedicalClinicxEST…",RT : are you lonely today? today im lonely im not used to being alone EST X WONDER SPLASH TheICONMedicalClinicxEST,0,391,0,0,rt estdiaries lonely today today i’m lonely im used alone est wonder splash theiconmedicalclinicxest…,Negative,Low Concern
1908810681211584520,2025-04-06T09:15:05+00:00,RT @GadSaad: Suicidal Empathy.,RT : Suicidal Empathy.,0,130,0,0,rt gadsaad suicidal empathy,Negative,High-Risk
1908810680335220851,2025-04-06T09:15:04+00:00,@ridarco1 Suicidal empathy.,Suicidal empathy.,0,0,0,0,ridarco suicidal empathy,Negative,High-Risk
1908810678413959290,2025-04-06T09:15:04+00:00,"#CryрtoРump🔥

➜ https://t.co/EtrOmpomIF

📈 Make 150-250% within MINUTES! 🚀

0FkSNAJs @ADESINA26070157 @dkale321 @Copias22Shop2 @FARIDGA81354187 @InaanS52274 @lonely_ageo @Hotaro_NFT @vono_caterina @Kookiee88 @Denifir21 @TimVogelTesla",Crytoump Make 150-250% within MINUTES! 0FkSNAJs,0,0,0,0,cryрtoрump make within minutes fksnajs adesina dkale copiasshop faridga inaans lonelyageo hotaronft vonocaterina kookiee denifir timvogeltesla,Neutral,Low Concern
1908810678208462865,2025-04-06T09:15:04+00:00,"Looking for something cute, cozy, and creative? 🧸✨
My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibes—perfect for stress relief, mindfulness, or a fun creative break!
Grab your copy now! 🎀📖
https://t.co/kz3dk872Br
#ColoringBook #AdultColoring","Looking for something cute, cozy, and creative? My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibesperfect for stress relief, mindfulness, or a fun creative break! Grab your copy now! ColoringBook AdultColoring",0,0,0,0,looking something cute cozy creative new kawaii girl coloring book full adorable scenes amp relaxing vibes—perfect stress relief mindfulness fun creative break grab copy coloringbook adultcoloring,Positive,Low Concern
1908810675868344561,2025-04-06T09:15:03+00:00,"RT @nigra_umbra: Behold, my latest masterpiece!
What do you get if you fuse Kakania from Reverse 1999 and Chiikawa?
You get Chiikania: the…","RT : Behold, my latest masterpiece! What do you get if you fuse Kakania from Reverse 1999 and Chiikawa? You get Chiikania: the",0,166,0,0,rt nigraumbra behold latest masterpiece get fuse kakania reverse chiikawa get chiikania the…,Positive,Low Concern
1908810675331137887,2025-04-06T09:15:03+00:00,"Looking for something cute, cozy, and creative? 🧸✨
My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibes—perfect for stress relief, mindfulness, or a fun creative break!
Grab your copy now! 🎀📖
https://t.co/kz3dk872Br
#ColoringBook #AdultColoring","Looking for something cute, cozy, and creative? My new Kawaii Girl Coloring Book is full of adorable scenes &amp; relaxing vibesperfect for stress relief, mindfulness, or a fun creative break! Grab your copy now! ColoringBook AdultColoring",0,0,0,1,looking something cute cozy creative new kawaii girl coloring book full adorable scenes amp relaxing vibes—perfect stress relief mindfulness fun creative break grab copy coloringbook adultcoloring,Positive,Low Concern
1908810674882347199,2025-04-06T09:15:03+00:00,"@TheFlowerShow Love &amp; remembrance for all the horses put under so much stress, that have died, so folk can #bet.","Love &amp; remembrance for all the horses put under so much stress, that have died, so folk can bet.",0,0,0,0,theflowershow love amp remembrance horses put much stress died folk bet,Negative,Low Concern
1908810674869776610,2025-04-06T09:15:03+00:00,"RT @SenAdamSchiff: Donald Trump does not care about you.

He wants you to feel powerless and hopeless. So he can keep consolidating power.…",RT : Donald Trump does not care about you. He wants you to feel powerless and hopeless. So he can keep consolidating power.,0,1101,0,0,rt senadamschiff donald trump care wants feel powerless hopeless keep consolidating power…,Negative,Low Concern
1908810672781000849,2025-04-06T09:15:03+00:00,"RT @marrryyymaar: I'm so lonely after my divorce. I'm  young  but I still want to find true love. Do I still have a chance?  I think not, b…","RT : I'm so lonely after my divorce. I'm young but I still want to find true love. Do I still have a chance? I think not, b",0,1044,0,0,rt marryymaar im lonely divorce im young still want find true love still chance think b…,Positive,Low Concern
1908810672202273226,2025-04-06T09:15:02+00:00,RT @lavenderkcals: me when not eating makes me depressed and tired🤯,RT : me when not eating makes me depressed and tired,0,81,0,0,rt lavenderkcals eating makes depressed tired,Negative,Moderate Concern
1908810671627899257,2025-04-06T09:15:02+00:00,"@tommorris32 @AFLPlayers @puka_up @FootyonNine This is great news. Speaking up is a hugely positive thing &amp; shows a shifting in the landscape towards Mental Health. Saying you need help requires strength, not weakness. Anyone who thinks otherwise hasn't evolved.","This is great news. Speaking up is a hugely positive thing &amp; shows a shifting in the landscape towards Mental Health. Saying you need help requires strength, not weakness. Anyone who thinks otherwise hasn't evolved.",0,0,0,6,tommorris aflplayers pukaup footyonnine great news speaking hugely positive thing amp shows shifting landscape towards mental health saying need help requires strength weakness anyone thinks otherwise hasnt evolved,Positive,Moderate Concern
